municipality_name,Latitude,Longitude
Gorzkowice,51.2151631,19.5959459
Grabica,51.4791649,19.5323329
Łęki Szlacheckie,51.1853206,19.8079242
Moszczenica,51.50468995,19.67660746199884
Ręczno,51.190641,19.8536831
Rozprza,51.3022006,19.6471691
Sulejów,51.3549202,19.8890802
Wola Krzysztoporska,51.3434223,19.5836999
Wolbórz,51.5036311,19.830319
Dalików,51.88235,19.1016655
Pęczniew,51.8034608,18.7219711
Poddębice,51.8926555,18.9518908
Uniejów,51.9741302,18.793245
Wartkowice,51.9755724,19.0022484
Zadzim,51.7757774,18.8496385
Radomsko,51.071061,19.44984640627979
Dobryszyce,51.1459513,19.408872
Gidle,50.9640585,19.4684614
Gomunice,51.16964,19.4855
Kamieńsk,51.204172,19.4970714
Kobiele Wielkie,51.0304056,19.6243691
Kodrąb,53.914256,14.6102082
Lgota Wielka,51.1485653,19.3286576
Ładzice,51.0817396,19.3568614
Masłowice,51.1056435,19.7895148
Przedbórz,51.0868077,19.8744414
Radomsko,51.071061,19.44984640627979
Wielgomłyny,51.0129394,19.7638042
Żytno,50.92729,19.62733
Rawa Mazowiecka,51.758285900000004,20.25099803272574
Biała Rawska,51.8075978,20.4720942
Cielądz,51.7141666,20.3449396
Rawa Mazowiecka,51.758285900000004,20.25099803272574
Regnów,51.75,20.3833333
Sadkowice,51.723841,20.5137702
Sieradz,51.5942475,18.7378774
Błaszki,51.6525206,18.4333114
Brąszewice,51.4986133,18.4493107
Brzeźnio,51.4947378,18.6228605
Burzenin,51.4602641,18.8325189
Goszczanów,51.789169,18.505482
Klonowa,53.5188113,19.9535312
Sieradz,51.5942475,18.7378774
Warta,52.1404927,17.6544623
Wróblew,51.986495,19.2496953
Złoczew,51.4180515,18.6060256
Bolimów,52.0762415,20.163478
Głuchów,52.158794,19.6606159
Godzianów,51.8965,20.03845
Kowiesy,51.8968748,20.5384711
